item_code|item_name|item_desc|join_life|joinlife_title|joinlife_desc|item_price
200000|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200001|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200002|BLUSA HILO METALIZADO|"""Blusa semitransparente de cuello solapa y escote pico. Manga larga acabada en puño. Detalle de pliegues en delantero. Bajo acabado asimetrico.<br/><br/>Este articulo no incluye forro interior."""|False|||3995
200003|BLUSA SATINADA ALAMARES|"""Blusa de cuello subido y escote pico. Manga larga. Cierre frontal con botones Detalle de alamares. Vivos combinados a contraste."""|False|||2995
200004|BLUSA ESTAMPADA CROPPED|"""Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones."""|False|||1995
200005|BLUSA ESTAMPADA CROPPED|"""Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones."""|False|||1995
200006|BLUSA ESTAMPADA TERCIOPELO|"""Blusa semitransparente de cuello solapa y manga larga acabada en puño. Tejido combinado en terciopelo con aplicacion de tachas. Detalle de hilo metalizado. Cierre frontal con botones.<br/><br/>Este articulo no incluye forro interior.<br/><br/>"""|False|||2995
200007|BLUSA SATINADA ESTAMPADA|"""Blusa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||1299
200008|BLUSA LINO BOLSILLOS|"""Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM"""|True|JOIN LIFE Care for fiber: 100% lino de cultivo europeo.|"""Este lino se cultiva de forma natural, sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC)."""|1299
200009|BLUSA LINO BOLSILLOS|"""Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM"""|True|JOIN LIFE Care for fiber: 100% lino de cultivo europeo.|"""Este lino se cultiva de forma natural, sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC)."""|1299
200010|BLUSA LINO BOLSILLOS|"""Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM"""|True|JOIN LIFE Care for fiber: 100% lino de cultivo europeo.|"""Este lino se cultiva de forma natural, sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC)."""|1299
200011|BLUSA SATINADA BOLSILLOS|"""Blusa fluida de cuello solapa y manga corta. Bolsillos de plastron con solapa en delantero. Bajo con aberturas laterales. Cierre frontal con botones."""|False|||1599
200012|BLUSA SATINADA BOLSILLOS|"""Blusa fluida de cuello solapa y manga corta. Bolsillos de plastron con solapa en delantero. Bajo con aberturas laterales. Cierre frontal con botones."""|False|||1599
200013|BLUSA SATINADA BOLSILLOS|"""Blusa fluida de cuello solapa y manga corta. Bolsillos de plastron con solapa en delantero. Bajo con aberturas laterales. Cierre frontal con botones."""|False|||1599
200014|BLUSA SATINADA ESTAMPADA|"""Blusa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||1299
200015|BLUSA CROPPED NUDO|"""Blusa de escote pico. Manga larga acabada en puño elastico y volantes. Bajo acabado con nudo en delantero. Cierre frontal con botones forrados."""|False|||1299
200016|BLUSA CROPPED NUDO|"""Blusa de escote pico. Manga larga acabada en puño elastico y volantes. Bajo acabado con nudo en delantero. Cierre frontal con botones forrados."""|False|||1299
200017|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200018|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200019|BLUSA JACQUARD|"""Blusa de cuello subido con manga larga amplia. Bajo asimetrico. Cierre en delantero con alamares combinados a contraste."""|False|||2995
200020|BLUSA FLUIDA VOLANTE|"""Blusa de escote pico con volante y lazo. Manga larga acabada en elastico con volante.<br/><br/>Este articulo no incluye forro interior."""|False|||2595
200021|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200022|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200023|BLUSA ESTAMPADA CINTURÓN|"""Blusa de cuello solapa y escote pico cruzado. Manga larga acabada en puño con abertura. Cinturon con hebilla forrada en mismo tejido. Cierre frontal cruzado con botones forrados."""|False|||3995
200024|BLUSA CROPPED ESTAMPADA|"""Blusa corto de cuello redondo. Manga por debajo del codo abullonada. Bajo con elastico interior. Cierre frontal con botones."""|False|||2995
200025|BODY POPELÍN HOMBRERAS|"""Body con cuello solapa y manga larga con hombreras. Cierre frontal con botones y en bajo con botones a presion."""|False|||2295
200026|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200027|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200028|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200029|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200030|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200031|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200032|BLUSA LARGA ESTAMPADO ANIMAL|"""Blusa fluida de cuello solapa y manga larga. Bajo asimetrico con aberturas laterales. Cierre frontal con botones."""|False|||1299
200033|BLUSA FLUIDA BOLSILLOS|"""Blusa de cuello solapa y manga larga. Bolsillos delanteros de plastron con solapa. Bajo con aberturas laterales. Cierre frontal con botones.<br/><br/>"""|True|JOIN LIFE Care for fiber: al menos 30% TENCEL™ Lyocell.|"""Esta fibra se obtiene de madera, principalmente eucalipto, de bosques gestionados de forma mas sostenible que garantiza su reforestacion. Se produce en un circuito cerrado, reutilizando el agua y mas del 99% de los quimicos y esta certificada por la EU Ecolabel."""|2995
200034|BLUSA LARGA BOTÓN DORADO|"""Blusa con cuello solapa y manga larga. Bolsillo delantero de plastron. Bajo asimetrico con botones metalicos laterales. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: al menos 75% TENCEL™ Lyocell.|"""Esta fibra se obtiene de madera, principalmente eucalipto, de bosques gestionados de forma mas sostenible que garantiza su reforestacion. Se produce en un circuito cerrado, reutilizando el agua y mas del 99% de los quimicos y esta certificada por la EU Ecolabel."""|2595
200035|BLUSA SATINADA NUDO|"""Blusa fluida de escote pico y manga por debajo del codo. Bajo con nudo en delantero. Cierre frontal con botones."""|False|||1299
200036|BLUSA COMBINADA BORDADOS|"""Blusa de cuello subido y manga larga. Detalle de bordados combinados a tono. Cierre en espalda con abertura y botones."""|False|||2995
200037|BLUSA NUDO|"""Blusa de escote pico y manga larga acabada con botones metalicos. Detalle de frunces en espalda y nudo en delantero. Cierre en espalda con cremallera oculta en costura."""|False|||2995
200038|BODY POPELÍN HOMBRERAS|"""Body con cuello solapa y manga larga con hombreras. Cierre frontal con botones y en bajo con botones a presion."""|False|||2295
200039|BLUSA LUNARES|"""Blusa de cuello subido con escote pico y manga larga. Cierre frontal con botones forrados.<br/><br/>Este articulo no incluye forro interior."""|False|||2595
200040|CUERPO MANGA DRAPEADA|"""Camisa de cuello subido. Manga larga drapeada. Cierre en espalda con cremallera oculta en costura."""|False|||2995
200041|BLUSA CROPPED NUDO|"""Blusa de escote pico. Manga larga acabada en puño elastico y volantes. Bajo acabado con nudo en delantero. Cierre frontal con botones forrados."""|False|||1299
200042|BLUSA ESTAMPADA LAZO|"""Blusa estampada de cuello subido con lazo y manga larga. Detalle de volantes en hombros. Cierre con botones forrados en hombro."""|False|||2595
200043|CAMISA SATINADA|"""Camisa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||2295
200044|BLUSA LARGA ESTAMPADO ANIMAL|"""Blusa fluida de cuello solapa y manga larga. Bajo asimetrico con aberturas laterales. Cierre frontal con botones."""|False|||1299
200045|BLUSA JACQUARD VOLANTES|"""Blusa de cuello subido y manga larga acabada en puño con boton. Detalle de volantes en pechera. Cierre frontal con botones joya."""|False|||2995
200046|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200047|BLUSA EFECTO METALIZADO|"""Blusa de cuello solapa y escote pico cruzado. Manga larga acabada en puño con pliegues. Cierre frontal cruzado con botones forrados y lateral interior con lazada."""|False|||2995
200048|BLUSA NUDO|"""Blusa de escote pico y manga larga acabada con botones metalicos. Detalle de frunces en espalda y nudo en delantero. Cierre en espalda con cremallera oculta en costura."""|False|||2995
200049|BLUSA ESTRUCTURA|"""Blusa de escote pico y manga por debajo del codo."""|False|||2995
200050|BLUSA PLISADA LAZO|"""Blusa de cuello redondo y manga larga acabada en volante con elasticos. Detalle de lazo delantero en mismo tejido."""|True|JOIN LIFE Care for fiber: al menos 50% poliester reciclado.|"""Esta fibra se obtiene a partir del reciclaje de plastico PET, como el de las botellas de agua. Transformando este residuo en un nuevo recurso reducimos la produccion de materia prima virgen y el consumo de agua, energia y recursos naturales."""|2595
200051|BLUSA ESTAMPADA CROPPED|"""Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones."""|False|||1995
200052|BLUSA FLUIDA BOLSILLOS|"""Blusa de cuello solapa y manga larga. Bolsillos delanteros de plastron con solapa. Bajo con aberturas laterales. Cierre frontal con botones.<br/><br/>"""|True|JOIN LIFE Care for fiber: al menos 30% TENCEL™ Lyocell.|"""Esta fibra se obtiene de madera, principalmente eucalipto, de bosques gestionados de forma mas sostenible que garantiza su reforestacion. Se produce en un circuito cerrado, reutilizando el agua y mas del 99% de los quimicos y esta certificada por la EU Ecolabel."""|2995
200053|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200054|BLUSA CUADROS BORDADOS|"""Blusa de cuello redondo con volante. Escote pico y manga larga acabada con elastico y volante. Detalle de bordados combinados a contraste. Cierre frontal con botones."""|False|||2995
200055|BLUSA SATINADA HOMBRERAS|"""Blusa de cuello redondo. Manga larga con hombreras acabada en puño con botones forrados y pliegues. Cierre en espalda con abertura y boton."""|False|||2995
200056|CUERPO SATINADO CRUZADO|"""Cuerpo de escote pico cruzado y manga larga acabada con botones perla. Cierre frontal con boton oculto y lazo."""|False|||2595
200057|BLUSA JACQUARD|"""Blusa corta de cuello redondo. Manga larga amplia. Cierre en delantero con botones joya."""|False|||2995
200058|BLUSA ESTAMPADA CROPPED|"""Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones."""|False|||1995
200059|BLUSA CROPPED ESTAMPADA|"""Blusa de cuello subido con frunces. Detalle de abertura delantera en pecho y manga larga. Bajo acabado con elastico en espalda tipo nido de abeja. Cierre trasero con abertura y botones."""|False|||2595
100000|VESTIDO ESTAMPADO|"""Vestido corto de cuello solapa y manga por debajo del codo. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: al menos 50% ECOVERO™ Viscose.|"""Esta viscosa se obtiene a partir de madera de bosques gestionados de forma mas sostenible donde los arboles se cultivan de forma controlada y con programas que garantizan su reforestacion. Ademas, esta certificada por la EU Ecolabel por cumplir exigentes estandares medioambientales en su proceso productivo."""|1599
100001|VESTIDO COMBINADO ENCAJE|"""Vestido corto de escote pico combinado con encaje a tono. Manga larga acabada en elastico. Cierre frontal con botones.<br/>"""|False|||1599
100002|VESTIDO LARGO ESTAMPADO|"""Vestido de escote pico con botones forrados a tono. Manga larga acabada en puño elastico tipo nido de abeja. Cintura elastica. Forro interior. Bajo asimetrico."""|True|JOIN LIFE Care for fiber: al menos 50% poliester reciclado.|"""Esta fibra se obtiene a partir del reciclaje de plastico PET, como el de las botellas de agua. Transformando este residuo en un nuevo recurso reducimos la produccion de materia prima virgen y el consumo de agua, energia y recursos naturales."""|1599
100003|VESTIDO MIDI ESTAMPADO|"""Vestido de escote pico cruzado y manga larga acabada en puño elastico. Detalle de botones forrados en delantero. Bajo con abertura frontal."""|False|||1999
100004|VESTIDO MIDI ENCAJE|"""Vestido midi de escote pico y manga corta. Acabados en encaje combinado a tono. Cierre delantero con botones."""|False|||1999
100005|VESTIDO FELPA|"""Vestido amplio de cuello redondo y manga larga. Bolsillos laterales. Acabados en rib."""|True|JOIN LIFE Care for fiber: al menos 95% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|999
100006|VESTIDO MIDI CINTURÓN|"""Vestido con escote pico cruzado y manga larga con hombros marcados. Bajo acabado en evase con abertura frontal. Detalle de cinturon a tono. Cierre lateral con cremallera oculta en costura."""|False|||1599
100007|VESTIDO ESTAMPADO ALAMARES|"""Vestido corto de cuello subido y manga corta. Cierre con alamares en delantero."""|False|||1999
100008|VESTIDO MINI PUNTO|"""Vestido con cuello subido y manga larga. Bajo acabado en evase."""|False|||1299
100009|VESTIDO ESTAMPADO FLORES|"""Vestido largo de cuello solapa. Manga por debajo del codo acabada en elastico. Cintura ajustable con cordones. Bajo acabado en volantes. Cierre tipo polo con botones."""|False|||1999
100010|VESTIDO FELPA|"""Vestido amplio de cuello redondo y manga larga. Bolsillos laterales. Acabados en rib."""|True|JOIN LIFE Care for fiber: al menos 95% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|999
100011|VESTIDO MIDI SATINADO|"""Vestido midi de escote recto y tirantes finos."""|False|||1599
100012|VESTIDO FELPA|"""Vestido amplio de cuello redondo y manga larga. Bolsillos laterales. Acabados en rib."""|True|JOIN LIFE Care for fiber: al menos 95% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|999
100013|VESTIDO PUNTO PERLADO|"""Vestido largo de cuello subido y manga sisa."""|False|||1299
100014|VESTIDO SATINADO CINTURA ELÁSTICA|"""Vestido midi con escote pico y manga larga. Cintura elastica. Bolsillos laterales ocultos en costura. Bajo acabado en evase."""|False|||1599
100015|VESTIDO ESTAMPADO LAZADA|"""Vestido corto de cuello solapa y manga por debajo del codo. Bolsillos laterales ocultos en costura. Detalle de cinturon lazada combinado a tono. Cierre frontal con botones."""|False|||1599
100016|VESTIDO FELPA|"""Vestido amplio de cuello redondo y manga larga. Bolsillos laterales. Acabados en rib."""|True|JOIN LIFE Care for fiber: al menos 95% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|999
100017|VESTIDO JACQUARD|"""Vestido midi de escote recto y tirantes finos."""|False|||1599
100018|VESTIDO ESTAMPADO VOLUMEN|"""Vestido corto de cuello redondo y escote pico con lazada. Manga por debajo del codo acabada en elastico. Forro interior."""|False|||1999
100019|VESTIDO FLUIDO HOMBRERAS|"""Vestido corto de cuello redondo. Manga sisa con hombrera y pliegues. Cierre en espalda con abertura y boton."""|False|||1299
100020|VESTIDO FELPA|"""Vestido amplio de cuello redondo y manga larga. Bolsillos laterales. Acabados en rib."""|True|JOIN LIFE Care for fiber: al menos 95% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|999
100021|VESTIDO MINI ABERTURA|"""Vestido corto de escote recto y tirantes finos cruzados en espalda. Bajo con abertura lateral. Cierre en espalda con cremallera oculta en costura."""|False|||1299
100022|VESTIDO VOLUMEN|"""Vestido midi de escote pico y manga sisa. Bolsillos laterales ocultos en costura. Detalle de pinzas."""|True|JOIN LIFE Care for fiber: al menos 50% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1599
100023|VESTIDO FELPA|"""Vestido amplio de cuello redondo y manga larga. Bolsillos laterales. Acabados en rib."""|True|JOIN LIFE Care for fiber: al menos 95% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|999
100024|VESTIDO HOMBRERAS|"""Vestido corto de cuello redondo. Manga sisa con hombreras."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|799
100025|VESTIDO FLUIDO|"""Vestido fluido de cuello escote redondo y espalda tipo nadador."""|True|JOIN LIFE Care for fiber: al menos 30% TENCEL™ Lyocell.|"""Esta fibra se obtiene de madera, principalmente eucalipto, de bosques gestionados de forma mas sostenible que garantiza su reforestacion. Se produce en un circuito cerrado, reutilizando el agua y mas del 99% de los quimicos y esta certificada por la EU Ecolabel."""|1299
100026|VESTIDO DRAPEADO|"""Vestido de escote pico y manga corta. Detalle tejido drapeado en delantero."""|False|||799
100027|VESTIDO ESTAMPADO ANIMAL|"""Vestido midi de cuello solapa. Manga larga abullonada en hombro acabada en puño. Cinturon con hebilla forrada en mismo tejido. Cierre frontal tipo polo con botones forrados."""|False|||1999
100028|VESTIDO LENCERO FRUNCE|"""Vestido midi de escote pico y tirantes finos ajustables. Detalle de frunce con cordones en delantero."""|False|||1599
100029|VESTIDO MINI ESTAMPADO|"""Vestido con escote pico y manga larga. Detalle aplicacion volantes combinados a tono. Forro interior. Cierre frontal con botones forrados a tono."""|False|||2995
100030|VESTIDO HILO METALIZADO|"""Vestido corto de cuello solapa y manga larga acabada en puño. Bajo acabado en volantes. Detalle de hilo metalizado. Cierre frontal con botones."""|False|||1999
100031|VESTIDO ESTAMPADO ANIMAL|"""Vestido corto de cuello subido con lazada. Manga larga abullonada acabada en puño.Cintura elastica. Forro interior. Cinturon con hebilla forrada en mismo tejido. Cierre en espalda con abertura y botones."""|True|JOIN LIFE Care for fiber: al menos 25% poliester reciclado.|"""Esta fibra se obtiene a partir del reciclaje de plastico PET, como el de las botellas de agua. Transformando este residuo en un nuevo recurso reducimos la produccion de materia prima virgen y el consumo de agua, energia y recursos naturales."""|1999
100032|VESTIDO CAMISERO|"""Vestido corto de cuello solapa. Manga larga acabada en puño con pliegues. Detalle de pinzas. Forro interior en bajo. Cierre frontal con botones."""|False|||1599
100033|VESTIDO MINI LUNARES|"""Vestido con cuello redondo y manga por debajo del codo acabada en elastico. Bajo acabado con frunces. Cierre en espalda con cremallera oculta en costura."""|False|||1599
100034|VESTIDO JACQUARD CINTURÓN|"""Vestido corto de escote pico cruzado con boton a presion. Manga larga acabada en puño. Bolsillos laterales. Cinturon con hebilla forrada en mismo tejido. Detalle de botones joya en delantero. Cierre lateral con cremallera oculta en costura."""|False|||1999
100035|VESTIDO LENCERO FRUNCES|"""Vestido satinado de escote pico y tirantes finos. Detalle de frunce ajustable con cordones en pecho."""|False|||1599
100036|VESTIDO HOMBRERAS JACQUARD|"""Vestido corto de cuello redondo. Manga sisa con hombreras."""|False|||799
100037|VESTIDO FLUIDO|"""Vestido corto de escote pico y tirantes. Forro interior."""|True|JOIN LIFE Care for fiber: al menos 25% poliester reciclado.|"""Esta fibra se obtiene a partir del reciclaje de plastico PET, como el de las botellas de agua. Transformando este residuo en un nuevo recurso reducimos la produccion de materia prima virgen y el consumo de agua, energia y recursos naturales."""|1299
100038|VESTIDO DRAPEADO ESTAMPADO|"""Vestido mini con cuello redondo y manga larga. Cierre en espalda con cremallera oculta en costura."""|False|||1599
